Score: 0/3; Date: 2024-12-07 00:25:06.979694
Score: 1/1; Date: 2024-12-07 00:33:06.490187
Score: 0/1; Date: 2024-12-07 00:33:16.413696
Score: 1/1; Date: 2024-12-07 01:18:55.919558
Score: 3/4; Date: 2024-12-07 01:27:12.147812
Score: 1/1; Date: 2024-12-07 01:42:06.139824
Score: 1/1; Date: 2024-12-07 01:56:32.755039
Score: 1/1; Date: 2024-12-07 01:56:42.092493
Score: 1/1; Date: 2024-12-07 01:58:06.381631
Score: 0/1; Date: 2024-12-07 02:00:34.603439
Score: 1/1; Date: 2024-12-07 02:03:51.749786
Score: 6/6; Date: 2024-12-07 02:22:34.525374
Score: 9/10; Date: 2024-12-07 16:22:20.658051
Score: 8/10; Date: 2024-12-07 18:36:00.901643
Score: 1/3; Date: 2024-12-07 18:40:20.280494
Score: 1/1; Date: 2024-12-07 18:56:14.469115
Score: 2/2; Date: 2024-12-08 13:58:45.415319
